,region,ISO_3_codes,year,value
1497,Mauritius,MUS,1965,753000
1498,Malawi,MWI,1965,4134464
1499,Malaysia,MYS,1965,9526558
1500,North America,NAC,1965,214031100
1501,Namibia,NAM,1965,716588
1502,New Caledonia,NCL,1965,90500
1503,Niger,NER,1965,3914118
1504,Nigeria,NGA,1965,50127920
1505,Nicaragua,NIC,1965,2068379
1506,Netherlands,NLD,1965,12294732
1507,Norway,NOR,1965,3723168
1508,Nepal,NPL,1965,10972912
1509,Nauru,NRU,1965,5859
1510,New Zealand,NZL,1965,2628400
1511,OECD members,OED,1965,866357882
1512,Oman,OMN,1965,625006
1513,Other small states,OSS,1965,10026023
1514,Pakistan,PAK,1965,50917975
1515,Panama,PAN,1965,1314679
1516,Peru,PER,1965,11711402
1517,Philippines,PHL,1965,30909997
1518,Palau,PLW,1965,11005
1519,Papua New Guinea,PNG,1965,2485433
1520,Poland,POL,1965,31444950
1521,Pre-demographic dividend,PRE,1965,210865011
1522,Puerto Rico,PRI,1965,2594000
1523,"Korea, Dem. People's Rep.",PRK,1965,12547524
1524,Portugal,PRT,1965,8998595
1525,Paraguay,PRY,1965,2172309
1526,West Bank and Gaza,PSE,1965,
1527,Pacific island small states,PSS,1965,1014633
1528,Post-demographic dividend,PST,1965,801098720
1529,French Polynesia,PYF,1965,93442
1530,Qatar,QAT,1965,73631
1531,Romania,ROU,1965,19031576
1532,Russian Federation,RUS,1965,126745000
1533,Rwanda,RWA,1965,3235536
1534,South Asia,SAS,1965,637823175
1535,Saudi Arabia,SAU,1965,4843632
1536,Sudan,SDN,1965,8770094
1537,Senegal,SEN,1965,3682879
1538,Singapore,SGP,1965,1886900
1539,Solomon Islands,SLB,1965,136815
1540,Sierra Leone,SLE,1965,2508226
1541,El Salvador,SLV,1965,3201310
1542,San Marino,SMR,1965,17508
1543,Somalia,SOM,1965,3068465
1544,Serbia,SRB,1965,6794000
1545,Sub-Saharan Africa (excluding high income),SSA,1965,256012349
1546,South Sudan,SSD,1965,3133155
1547,Sub-Saharan Africa,SSF,1965,256059849
1548,Small states,SST,1965,15621038
1549,Sao Tome and Principe,STP,1965,64884
1550,Suriname,SUR,1965,328939
1551,Slovak Republic,SVK,1965,4370983
1552,Slovenia,SVN,1965,1649160
1553,Sweden,SWE,1965,7733853
1554,Eswatini,SWZ,1965,373925
1555,Sint Maarten (Dutch part),SXM,1965,4460
1556,Seychelles,SYC,1965,47500
1557,Syrian Arab Republic,SYR,1965,5373137
1558,Turks and Caicos Islands,TCA,1965,5814
1559,Chad,TCD,1965,3309583
1560,East Asia & Pacific (IDA & IBRD countries),TEA,1965,963806224
1561,Europe & Central Asia (IDA & IBRD countries),TEC,1965,331852935
1562,Togo,TGO,1965,1708631
1563,Thailand,THA,1965,31822656
1564,Tajikistan,TJK,1965,2487975
1565,Turkmenistan,TKM,1965,1892596
1566,Latin America & the Caribbean (IDA & IBRD countries),TLA,1965,240564863
1567,Timor-Leste,TLS,1965,519676
1568,Middle East & North Africa (IDA & IBRD countries),TMN,1965,111307810
1569,Tonga,TON,1965,74348
1570,South Asia (IDA & IBRD),TSA,1965,637823175
1571,Sub-Saharan Africa (IDA & IBRD countries),TSS,1965,256059849
1572,Trinidad and Tobago,TTO,1965,911742
1573,Tunisia,TUN,1965,4547941
1574,Turkiye,TUR,1965,30972996
1575,Tuvalu,TUV,1965,5388
1576,Tanzania,TZA,1965,11634837
1577,Uganda,UGA,1965,7986062
1578,Ukraine,UKR,1965,45264552
1579,Upper middle income,UMC,1965,1216291138
1580,Uruguay,URY,1965,2694537
1581,United States,USA,1965,194303000
1582,Uzbekistan,UZB,1965,10116870
1583,St. Vincent and the Grenadines,VCT,1965,86009
1584,"Venezuela, RB",VEN,1965,9692281
1585,British Virgin Islands,VGB,1965,8836
1586,Virgin Islands (U.S.),VIR,1965,43500
1587,Vietnam,VNM,1965,37858947
1588,Vanuatu,VUT,1965,74268
1589,World,WLD,1965,3322046795
1590,Samoa,WSM,1965,127055
1591,Kosovo,XKX,1965,1078000
1592,"Yemen, Rep.",YEM,1965,5727745
1593,South Africa,ZAF,1965,19384838
1594,Zambia,ZMB,1965,3570466
1595,Zimbabwe,ZWE,1965,4471178
1596,Aruba,ABW,1966,57702
1597,Africa Eastern and Southern,AFE,1966,152752671
1598,Afghanistan,AFG,1966,10174840
1599,Africa Western and Central,AFW,1966,109701811
1600,Angola,AGO,1966,5781305
1601,Albania,ALB,1966,1914573
1602,Andorra,AND,1966,19646
1603,Arab World,ARB,1966,108758634
1604,United Arab Emirates,ARE,1966,159979
1605,Argentina,ARG,1966,22494031
1606,Armenia,ARM,1966,2276038
1607,American Samoa,ASM,1966,24473
1608,Antigua and Barbuda,ATG,1966,59912
1609,Australia,AUS,1966,11651000
1610,Austria,AUT,1966,7322066
1611,Azerbaijan,AZE,1966,4721528
1612,Burundi,BDI,1966,3170496
1613,Belgium,BEL,1966,9527807
1614,Benin,BEN,1966,2682159
1615,Burkina Faso,BFA,1966,5256360
1616,Bangladesh,BGD,1966,57157651
1617,Bulgaria,BGR,1966,8258057
1618,Bahrain,BHR,1966,191785
1619,"Bahamas, The",BHS,1966,146381
1620,Bosnia and Herzegovina,BIH,1966,3586630
1621,Belarus,BLR,1966,8696496
1622,Belize,BLZ,1966,109348
1623,Bermuda,BMU,1966,51000
1624,Bolivia,BOL,1966,4122517
1625,Brazil,BRA,1966,85696502
1626,Barbados,BRB,1966,236084
1627,Brunei Darussalam,BRN,1966,107274
1628,Bhutan,BTN,1966,261664
1629,Botswana,BWA,1966,571957
1630,Central African Republic,CAF,1966,1673019
1631,Canada,CAN,1966,20048000
1632,Central Europe and the Baltics,CEB,1966,96146336
1633,Switzerland,CHE,1966,5918002
1634,Channel Islands,CHI,1966,116229
1635,Chile,CHL,1966,9152848
1636,China,CHN,1966,735400000
1637,Cote d'Ivoire,CIV,1966,4383723
1638,Cameroon,CMR,1966,5909874
1639,"Congo, Dem. Rep.",COD,1966,17862052
1640,"Congo, Rep.",COG,1966,1186782
1641,Colombia,COL,1966,19279734
1642,Comoros,COM,1966,211477
1643,Cabo Verde,CPV,1966,238655
1644,Costa Rica,CRI,1966,1645076
1645,Caribbean small states,CSS,1966,4648353
1646,Cuba,CUB,1966,8115487
1647,Curacao,CUW,1966,136682
1648,Cayman Islands,CYM,1966,8444
1649,Cyprus,CYP,1966,585313
1650,Czechia,CZE,1966,9821040
1651,Germany,DEU,1966,76600311
1652,Djibouti,DJI,1966,122876
1653,Dominica,DMA,1966,66300
1654,Denmark,DNK,1966,4797381
1655,Dominican Republic,DOM,1966,3999796
1656,Algeria,DZA,1966,12902626
1657,East Asia & Pacific (excluding high income),EAP,1966,1003810717
1658,Early-demographic dividend,EAR,1966,1130947721
1659,East Asia & Pacific,EAS,1966,1165660993
1660,Europe & Central Asia (excluding high income),ECA,1966,280497635
1661,Europe & Central Asia,ECS,1966,712830312
1662,Ecuador,ECU,1966,5399423
1663,"Egypt, Arab Rep.",EGY,1966,31237597
1664,Euro area,EMU,1966,279969050
1665,Eritrea,ERI,1966,1178875
1666,Spain,ESP,1966,32283194
1667,Estonia,EST,1966,1308597
1668,Ethiopia,ETH,1966,25641040
1669,European Union,EUU,1966,376039129
1670,Fragile and conflict affected situations,FCS,1966,278645121
1671,Finland,FIN,1966,4580869
1672,Fiji,FJI,1966,476399
1673,France,FRA,1966,50330268
1674,Faroe Islands,FRO,1966,37283
1675,"Micronesia, Fed. Sts.",FSM,1966,54192
1676,Gabon,GAB,1966,543119
1677,United Kingdom,GBR,1966,54648500
1678,Georgia,GEO,1966,3966700
1679,Ghana,GHA,1966,7941418
1680,Gibraltar,GIB,1966,26631
1681,Guinea,GIN,1966,3870204
1682,"Gambia, The",GMB,1966,415478
1683,Guinea-Bissau,GNB,1966,658998
1684,Equatorial Guinea,GNQ,1966,283506
1685,Greece,GRC,1966,8613651
1686,Grenada,GRD,1966,94936
1687,Greenland,GRL,1966,40500
1688,Guatemala,GTM,1966,4910790
1689,Guam,GUM,1966,76611
1690,Guyana,GUY,1966,664518
1691,High income,HIC,1966,837984905
1692,"Hong Kong SAR, China",HKG,1966,3629900
1693,Honduras,HND,1966,2414805
1694,Heavily indebted poor countries (HIPC),HPC,1966,187227553
1695,Croatia,HRV,1966,4310701
1696,Haiti,HTI,1966,4341325
1697,Hungary,HUN,1966,10178653
1698,IBRD only,IBD,1966,2161881347
1699,IDA & IBRD total,IBT,1966,2602626879
1700,IDA total,IDA,1966,440745532
1701,IDA blend,IDB,1966,139672971
1702,Indonesia,IDN,1966,103025423
1703,IDA only,IDX,1966,301072561
1704,Isle of Man,IMN,1966,51051
1705,India,IND,1966,509631509
1706,Not classified,INX,1966,
1707,Ireland,IRL,1966,2888800
1708,"Iran, Islamic Rep.",IRN,1966,25624380
1709,Iraq,IRQ,1966,8651162
1710,Iceland,ISL,1966,195570
1711,Israel,ISR,1966,2629000
1712,Italy,ITA,1966,52519000
1713,Jamaica,JAM,1966,1780522
1714,Jordan,JOR,1966,1267063
1715,Japan,JPN,1966,98851000
1716,Kazakhstan,KAZ,1966,12132560
1717,Kenya,KEN,1966,9851453
1718,Kyrgyz Republic,KGZ,1966,2655300
1719,Cambodia,KHM,1966,6585034
1720,Kiribati,KIR,1966,47429
1721,St. Kitts and Nevis,KNA,1966,48351
1722,"Korea, Rep.",KOR,1966,29435571
1723,Kuwait,KWT,1966,523169
1724,Latin America & Caribbean (excluding high income),LAC,1966,230880082
1725,Lao PDR,LAO,1966,2439197
1726,Lebanon,LBN,1966,2136617
1727,Liberia,LBR,1966,1273458
1728,Libya,LBY,1966,1803689
1729,St. Lucia,LCA,1966,97721
1730,Latin America & Caribbean,LCN,1966,258440584
1731,Least developed countries: UN classification,LDC,1966,277496711
1732,Low income,LIC,1966,161813677
1733,Liechtenstein,LIE,1966,19160
1734,Sri Lanka,LKA,1966,11380665
1735,Lower middle income,LMC,1966,1135402774
1736,Low & middle income,LMY,1966,2544090232
1737,Lesotho,LSO,1966,941798
1738,Late-demographic dividend,LTE,1966,1220687497
1739,Lithuania,LTU,1966,3008050
1740,Luxembourg,LUX,1966,333895
1741,Latvia,LVA,1966,2283217
1742,"Macao SAR, China",MAC,1966,213189
1743,St. Martin (French part),MAF,1966,4675
1744,Morocco,MAR,1966,14595351
1745,Monaco,MCO,1966,23302
1746,Moldova,MDA,1966,2307959
1747,Madagascar,MDG,1966,5918592
1748,Maldives,MDV,1966,105129
1749,Middle East & North Africa,MEA,1966,123908187
1750,Mexico,MEX,1966,45519746
1751,Marshall Islands,MHL,1966,17834
1752,Middle income,MIC,1966,2382276555
1753,North Macedonia,MKD,1966,1617797
1754,Mali,MLI,1966,5635864
1755,Malta,MLT,1966,315200
1756,Myanmar,MMR,1966,24823937
1757,Middle East & North Africa (excluding high income),MNA,1966,114351844
1758,Montenegro,MNE,1966,526419
1759,Mongolia,MNG,1966,1139962
1760,Northern Mariana Islands,MNP,1966,11341
1761,Mozambique,MOZ,1966,8225919
1762,Mauritania,MRT,1966,1016093
1763,Mauritius,MUS,1966,768813
1764,Malawi,MWI,1966,4240430
1765,Malaysia,MYS,1966,9790083
1766,North America,NAC,1966,216659000
1767,Namibia,NAM,1966,734866
1768,New Caledonia,NCL,1966,93500
1769,Niger,NER,1966,4027969
1770,Nigeria,NGA,1966,51217969
1771,Nicaragua,NIC,1966,2131973
1772,Netherlands,NLD,1966,12456251
1773,Norway,NOR,1966,3753012
1774,Nepal,NPL,1966,11172530
1775,Nauru,NRU,1966,6065
1776,New Zealand,NZL,1966,2675900
1777,OECD members,OED,1966,877034871
1778,Oman,OMN,1966,642007
1779,Other small states,OSS,1966,10214282
1780,Pakistan,PAK,1966,52260183
1781,Panama,PAN,1966,1353847
1782,Peru,PER,1966,12045783
1783,Philippines,PHL,1966,31864175
1784,Palau,PLW,1966,11178
1785,Papua New Guinea,PNG,1966,2539683
1786,Poland,POL,1966,31681000
1787,Pre-demographic dividend,PRE,1966,216096182
1788,Puerto Rico,PRI,1966,2624995
1789,"Korea, Dem. People's Rep.",PRK,1966,12864947
1790,Portugal,PRT,1966,8930990
1791,Paraguay,PRY,1966,2230733
1792,West Bank and Gaza,PSE,1966,
1793,Pacific island small states,PSS,1966,1043365
1794,Post-demographic dividend,PST,1966,809363152
1795,French Polynesia,PYF,1966,96719
1796,Qatar,QAT,1966,79850
1797,Romania,ROU,1966,19215450
1798,Russian Federation,RUS,1966,127468000
1799,Rwanda,RWA,1966,3321674
1800,South Asia,SAS,1966,652144171
1801,Saudi Arabia,SAU,1966,5015353
1802,Sudan,SDN,1966,9047803
1803,Senegal,SEN,1966,3789381
1804,Singapore,SGP,1966,1934400
1805,Solomon Islands,SLB,1966,140995
1806,Sierra Leone,SLE,1966,2551580
1807,El Salvador,SLV,1966,3293954
1808,San Marino,SMR,1966,17919
1809,Somalia,SOM,1966,3143654
1810,Serbia,SRB,1966,6841000
1811,Sub-Saharan Africa (excluding high income),SSA,1966,262405783
1812,South Sudan,SSD,1966,3199348
1813,Sub-Saharan Africa,SSF,1966,262454482
1814,Small states,SST,1966,15906000
1815,Sao Tome and Principe,STP,1966,66172
1816,Suriname,SUR,1966,338155
1817,Slovak Republic,SVK,1966,4411666
1818,Slovenia,SVN,1966,1669905
1819,Sweden,SWE,1966,7807797
1820,Eswatini,SWZ,1966,383820
1821,Sint Maarten (Dutch part),SXM,1966,4895
1822,Seychelles,SYC,1966,48699
1823,Syrian Arab Republic,SYR,1966,5553247
1824,Turks and Caicos Islands,TCA,1966,5783
1825,Chad,TCD,1966,3372182
1826,East Asia & Pacific (IDA & IBRD countries),TEA,1966,990927362
1827,Europe & Central Asia (IDA & IBRD countries),TEC,1966,335704786
1828,Togo,TGO,1966,1774020
1829,Thailand,THA,1966,32789129
1830,Tajikistan,TJK,1966,2574506
1831,Turkmenistan,TKM,1966,1952144
1832,Latin America & the Caribbean (IDA & IBRD countries),TLA,1966,247044234
1833,Timor-Leste,TLS,1966,529328
1834,Middle East & North Africa (IDA & IBRD countries),TMN,1966,114351844
1835,Tonga,TON,1966,76774
1836,South Asia (IDA & IBRD),TSA,1966,652144171
1837,Sub-Saharan Africa (IDA & IBRD countries),TSS,1966,262454482
1838,Trinidad and Tobago,TTO,1966,919218
1839,Tunisia,TUN,1966,4640995
1840,Turkiye,TUR,1966,31717504
1841,Tuvalu,TUV,1966,5435
1842,Tanzania,TZA,1966,11985442
1843,Uganda,UGA,1966,8263434
1844,Ukraine,UKR,1966,45684983
1845,Upper middle income,UMC,1966,1246873781
1846,Uruguay,URY,1966,2722871
1847,United States,USA,1966,196560000
1848,Uzbekistan,UZB,1966,10493441
1849,St. Vincent and the Grenadines,VCT,1966,86907
1850,"Venezuela, RB",VEN,1966,10022592
1851,British Virgin Islands,VGB,1966,9022
1852,Virgin Islands (U.S.),VIR,1966,46200
1853,Vietnam,VNM,1966,38958046
1854,Vanuatu,VUT,1966,76392
1855,World,WLD,1966,3392097729
1856,Samoa,WSM,1966,130672
1857,Kosovo,XKX,1966,1106000
1858,"Yemen, Rep.",YEM,1966,5816241
1859,South Africa,ZAF,1966,19888259
1860,Zambia,ZMB,1966,3681953
1861,Zimbabwe,ZWE,1966,4623340
1862,Aruba,ABW,1967,58044
1863,Africa Eastern and Southern,AFE,1967,156876454
1864,Afghanistan,AFG,1967,10399936
1865,Africa Western and Central,AFW,1967,112195950
1866,Angola,AGO,1967,5774440
1867,Albania,ALB,1967,1965598
1868,Andorra,AND,1967,20760
1869,Arab World,ARB,1967,111899335
1870,United Arab Emirates,ARE,1967,169768
1871,Argentina,ARG,1967,22828872
1872,Armenia,ARM,1967,2339133
1873,American Samoa,ASM,1967,25235
1874,Antigua and Barbuda,ATG,1967,61240
1875,Australia,AUS,1967,11799000
1876,Austria,AUT,1967,7376998
1877,Azerbaijan,AZE,1967,4843872
1878,Burundi,BDI,1967,3253215
1879,Belgium,BEL,1967,9580991
1880,Benin,BEN,1967,2735308
1881,Burkina Faso,BFA,1967,5343025
1882,Bangladesh,BGD,1967,59034250
1883,Bulgaria,BGR,1967,8310226
1884,Bahrain,BHR,1967,196060
1885,"Bahamas, The",BHS,1967,152621
1886,Bosnia and Herzegovina,BIH,1967,3632678
1887,Belarus,BLR,1967,8785648
1888,Belize,BLZ,1967,112707
1889,Bermuda,BMU,1967,52000
1890,Bolivia,BOL,1967,4208683
1891,Brazil,BRA,1967,88035815
1892,Barbados,BRB,1967,236661
1893,Brunei Darussalam,BRN,1967,112446
1894,Bhutan,BTN,1967,269944
1895,Botswana,BWA,1967,584098
1896,Central African Republic,CAF,1967,1708306
1897,Canada,CAN,1967,20412000
1898,Central Europe and the Baltics,CEB,1967,97043270
1899,Switzerland,CHE,1967,5991785
1900,Channel Islands,CHI,1967,117469
1901,Chile,CHL,1967,9312091
1902,China,CHN,1967,754550000
1903,Cote d'Ivoire,CIV,1967,4544168
1904,Cameroon,CMR,1967,6052419
1905,"Congo, Dem. Rep.",COD,1967,18378620
1906,"Congo, Rep.",COG,1967,1219547
1907,Colombia,COL,1967,19837508
1908,Comoros,COM,1967,215900
1909,Cabo Verde,CPV,1967,247522
1910,Costa Rica,CRI,1967,1696742
1911,Caribbean small states,CSS,1967,4712556
1912,Cuba,CUB,1967,8266373
1913,Curacao,CUW,1967,138140
1914,Cayman Islands,CYM,1967,8518
1915,Cyprus,CYP,1967,591301
1916,Czechia,CZE,1967,9852899
1917,Germany,DEU,1967,76951336
1918,Djibouti,DJI,1967,131405
1919,Dominica,DMA,1967,67687
1920,Denmark,DNK,1967,4835354
1921,Dominican Republic,DOM,1967,4123100
1922,Algeria,DZA,1967,13275020
1923,East Asia & Pacific (excluding high income),EAP,1967,1030352359
1924,Early-demographic dividend,EAR,1967,1158861175
1925,East Asia & Pacific,EAS,1967,1194423916
1926,Europe & Central Asia (excluding high income),ECA,1967,283832745
1927,Europe & Central Asia,ECS,1967,719406020
1928,Ecuador,ECU,1967,5560013
1929,"Egypt, Arab Rep.",EGY,1967,32056506
1930,Euro area,EMU,1967,281974870
1931,Eritrea,ERI,1967,1210304
1932,Spain,ESP,1967,32682947
1933,Estonia,EST,1967,1318946
1934,Ethiopia,ETH,1967,26280135
1935,European Union,EUU,1967,378917964
1936,Fragile and conflict affected situations,FCS,1967,284794041
1937,Finland,FIN,1967,4605744
1938,Fiji,FJI,1967,487973
1939,France,FRA,1967,50775788
1940,Faroe Islands,FRO,1967,37705
1941,"Micronesia, Fed. Sts.",FSM,1967,56308
1942,Gabon,GAB,1967,554054
1943,United Kingdom,GBR,1967,54943600
1944,Georgia,GEO,1967,4005800
1945,Ghana,GHA,1967,8132803
1946,Gibraltar,GIB,1967,27172
1947,Guinea,GIN,1967,3941046
1948,"Gambia, The",GMB,1967,426622
1949,Guinea-Bissau,GNB,1967,669243
1950,Equatorial Guinea,GNQ,1967,291786
1951,Greece,GRC,1967,8684088
1952,Grenada,GRD,1967,95012
1953,Greenland,GRL,1967,41900
1954,Guatemala,GTM,1967,5047435
1955,Guam,GUM,1967,78412
1956,Guyana,GUY,1967,675861
1957,High income,HIC,1967,846615712
1958,"Hong Kong SAR, China",HKG,1967,3722800
1959,Honduras,HND,1967,2486418
1960,Heavily indebted poor countries (HIPC),HPC,1967,192084675
1961,Croatia,HRV,1967,4338683
1962,Haiti,HTI,1967,4425318
1963,Hungary,HUN,1967,10216604
1964,IBRD only,IBD,1967,2211446261
1965,IDA & IBRD total,IBT,1967,2663895780
1966,IDA total,IDA,1967,452449519
1967,IDA blend,IDB,1967,143347860
1968,Indonesia,IDN,1967,105865576
1969,IDA only,IDX,1967,309101659
1970,Isle of Man,IMN,1967,52117
1971,India,IND,1967,520400577
1972,Not classified,INX,1967,
1973,Ireland,IRL,1967,2902450
1974,"Iran, Islamic Rep.",IRN,1967,26317776
1975,Iraq,IRQ,1967,8947397
1976,Iceland,ISL,1967,198751
1977,Israel,ISR,1967,2745000
1978,Italy,ITA,1967,52900500
1979,Jamaica,JAM,1967,1803324
1980,Jordan,JOR,1967,1378995
1981,Japan,JPN,1967,99879000
1982,Kazakhstan,KAZ,1967,12385706
1983,Kenya,KEN,1967,10187487
1984,Kyrgyz Republic,KGZ,1967,2736500
1985,Cambodia,KHM,1967,6685961
1986,Kiribati,KIR,1967,48403
1987,St. Kitts and Nevis,KNA,1967,47388
1988,"Korea, Rep.",KOR,1967,30130983
1989,Kuwait,KWT,1967,577164
1990,Latin America & Caribbean (excluding high income),LAC,1967,237024250
1991,Lao PDR,LAO,1967,2496927
1992,Lebanon,LBN,1967,2174732
1993,Liberia,LBR,1967,1303032
1994,Libya,LBY,1967,1878869
1995,St. Lucia,LCA,1967,99370
1996,Latin America & Caribbean,LCN,1967,265187879
1997,Least developed countries: UN classification,LDC,1967,284630101
1998,Low income,LIC,1967,165967397
1999,Liechtenstein,LIE,1967,19688
2000,Sri Lanka,LKA,1967,11657650
2001,Lower middle income,LMC,1967,1162186728
2002,Low & middle income,LMY,1967,2604644271
2003,Lesotho,LSO,1967,962279
2004,Late-demographic dividend,LTE,1967,1248850553
2005,Lithuania,LTU,1967,3044400
2006,Luxembourg,LUX,1967,334995
2007,Latvia,LVA,1967,2301220
2008,"Macao SAR, China",MAC,1967,223416
2009,St. Martin (French part),MAF,1967,4922
2010,Morocco,MAR,1967,14954037
2011,Monaco,MCO,1967,23292
2012,Moldova,MDA,1967,2344108
2013,Madagascar,MDG,1967,6073529
2014,Maldives,MDV,1967,107481
2015,Middle East & North Africa,MEA,1967,127444919
2016,Mexico,MEX,1967,46956208
2017,Marshall Islands,MHL,1967,18383
2018,Middle income,MIC,1967,2438676874
2019,North Macedonia,MKD,1967,1644949
2020,Mali,MLI,1967,5706192
2021,Malta,MLT,1967,311550
2022,Myanmar,MMR,1967,25410054
2023,Middle East & North Africa (excluding high income),MNA,1967,117503838
2024,Montenegro,MNE,1967,522796
2025,Mongolia,MNG,1967,1173186
2026,Northern Mariana Islands,MNP,1967,11723
2027,Mozambique,MOZ,1967,8417698
2028,Mauritania,MRT,1967,1047345
2029,Mauritius,MUS,1967,783917
2030,Malawi,MWI,1967,4350456
2031,Malaysia,MYS,1967,10046321
2032,North America,NAC,1967,219176000
2033,Namibia,NAM,1967,753683
2034,New Caledonia,NCL,1967,96500
2035,Niger,NER,1967,4144588
2036,Nigeria,NGA,1967,52342231
2037,Nicaragua,NIC,1967,2197303
2038,Netherlands,NLD,1967,12598201
2039,Norway,NOR,1967,3784539
2040,Nepal,NPL,1967,11382965
2041,Nauru,NRU,1967,6221
2042,New Zealand,NZL,1967,2724100
2043,OECD members,OED,1967,887433263
2044,Oman,OMN,1967,660117
2045,Other small states,OSS,1967,10406007
2046,Pakistan,PAK,1967,53655783
2047,Panama,PAN,1967,1393824
2048,Peru,PER,1967,12386868
2049,Philippines,PHL,1967,32823970
2050,Palau,PLW,1967,11329
2051,Papua New Guinea,PNG,1967,2596820
2052,Poland,POL,1967,31987155
2053,Pre-demographic dividend,PRE,1967,221539857
2054,Puerto Rico,PRI,1967,2645674
2055,"Korea, Dem. People's Rep.",PRK,1967,13222703
2056,Portugal,PRT,1967,8874520
2057,Paraguay,PRY,1967,2290797
2058,West Bank and Gaza,PSE,1967,
2059,Pacific island small states,PSS,1967,1071166
2060,Post-demographic dividend,PST,1967,817179925
2061,French Polynesia,PYF,1967,99990
2062,Qatar,QAT,1967,86298
2063,Romania,ROU,1967,19534242
2064,Russian Federation,RUS,1967,128196000
2065,Rwanda,RWA,1967,3420897
2066,South Asia,SAS,1967,666908586
2067,Saudi Arabia,SAU,1967,5195124
2068,Sudan,SDN,1967,9337662
2069,Senegal,SEN,1967,3899648
2070,Singapore,SGP,1967,1977600
2071,Solomon Islands,SLB,1967,145319
2072,Sierra Leone,SLE,1967,2596798
2073,El Salvador,SLV,1967,3387384
2074,San Marino,SMR,1967,18309
2075,Somalia,SOM,1967,3227835
2076,Serbia,SRB,1967,6880000
2077,Sub-Saharan Africa (excluding high income),SSA,1967,269022493
2078,South Sudan,SSD,1967,3268392
2079,Sub-Saharan Africa,SSF,1967,269072404
2080,Small states,SST,1967,16189729
2081,Sao Tome and Principe,STP,1967,68039
2082,Suriname,SUR,1967,347673
2083,Slovak Republic,SVK,1967,4449367
2084,Slovenia,SVN,1967,1689528
2085,Sweden,SWE,1967,7867931
2086,Eswatini,SWZ,1967,394760
2087,Sint Maarten (Dutch part),SXM,1967,5362
2088,Seychelles,SYC,1967,49911
2089,Syrian Arab Republic,SYR,1967,5740702
2090,Turks and Caicos Islands,TCA,1967,5766
2091,Chad,TCD,1967,3434817
2092,East Asia & Pacific (IDA & IBRD countries),TEA,1967,1017110642
2093,Europe & Central Asia (IDA & IBRD countries),TEC,1967,339692825
2094,Togo,TGO,1967,1855450
2095,Thailand,THA,1967,33778804
2096,Tajikistan,TJK,1967,2662257
2097,Turkmenistan,TKM,1967,2011762
2098,Latin America & the Caribbean (IDA & IBRD countries),TLA,1967,253607485
2099,Timor-Leste,TLS,1967,538906
2100,Middle East & North Africa (IDA & IBRD countries),TMN,1967,117503838
2101,Tonga,TON,1967,79034
2102,South Asia (IDA & IBRD),TSA,1967,666908586
2103,Sub-Saharan Africa (IDA & IBRD countries),TSS,1967,269072404
2104,Trinidad and Tobago,TTO,1967,925233
2105,Tunisia,TUN,1967,4740526
2106,Turkiye,TUR,1967,32477994
2107,Tuvalu,TUV,1967,5510
2108,Tanzania,TZA,1967,12348188
2109,Uganda,UGA,1967,8550444
2110,Ukraine,UKR,1967,46063219
2111,Upper middle income,UMC,1967,1276490146
2112,Uruguay,URY,1967,2750091
2113,United States,USA,1967,198712000
2114,Uzbekistan,UZB,1967,10889499
2115,St. Vincent and the Grenadines,VCT,1967,87779
2116,"Venezuela, RB",VEN,1967,10359741
2117,British Virgin Islands,VGB,1967,9213
2118,Virgin Islands (U.S.),VIR,1967,49100
2119,Vietnam,VNM,1967,40072951
2120,Vanuatu,VUT,1967,78505
2121,World,WLD,1967,3461619724
2122,Samoa,WSM,1967,134181
2123,Kosovo,XKX,1967,1135000
2124,"Yemen, Rep.",YEM,1967,5907873
2125,South Africa,ZAF,1967,20406863
2126,Zambia,ZMB,1967,3797877
2127,Zimbabwe,ZWE,1967,4779825
2128,Aruba,ABW,1968,58377
2129,Africa Eastern and Southern,AFE,1968,161156430
2130,Afghanistan,AFG,1968,10637064
2131,Africa Western and Central,AFW,1968,114781116
2132,Angola,AGO,1968,5771973
2133,Albania,ALB,1968,2022272
2134,Andorra,AND,1968,21886
2135,Arab World,ARB,1968,115136161
2136,United Arab Emirates,ARE,1968,182620
2137,Argentina,ARG,1968,23168268
2138,Armenia,ARM,1968,2401142
2139,American Samoa,ASM,1968,25980
2140,Antigua and Barbuda,ATG,1968,62523
2141,Australia,AUS,1968,12009000
2142,Austria,AUT,1968,7415403
2143,Azerbaijan,AZE,1968,4960237
2144,Burundi,BDI,1968,3336930
2145,Belgium,BEL,1968,9618756
2146,Benin,BEN,1968,2791588
2147,Burkina Faso,BFA,1968,5434046
2148,Bangladesh,BGD,1968,60918452
2149,Bulgaria,BGR,1968,8369603
2150,Bahrain,BHR,1968,200652
2151,"Bahamas, The",BHS,1968,158648
2152,Bosnia and Herzegovina,BIH,1968,3675448
2153,Belarus,BLR,1968,8874552
2154,Belize,BLZ,1968,116065
2155,Bermuda,BMU,1968,53000
2156,Bolivia,BOL,1968,4297522
2157,Brazil,BRA,1968,90387079
2158,Barbados,BRB,1968,237241
2159,Brunei Darussalam,BRN,1968,117897
2160,Bhutan,BTN,1968,278731
2161,Botswana,BWA,1968,596946
2162,Central African Republic,CAF,1968,1744198
2163,Canada,CAN,1968,20744000
2164,Central Europe and the Baltics,CEB,1968,97884022
2165,Switzerland,CHE,1968,6067714
